25.5|555.30, 2850, 100|7820,8380,7740,8100,7660,7480|11952,11952,11952,11960,11952,11968|23880|11896
26.1|554.41, 2850, 100|7820,8400,7740,8100,7660,7480|11952,11952,11952,11960,11952,11968|23900|11896
26.6|553.62, 2850, 100|7820,8380,7740,8100,7660,7480|11952,11952,11952,11960,11952,11968|23900|11896
27.1|553.93, 2850, 100|7840,8400,7740,8100,7660,7480|11952,11952,11952,11960,11952,11968|23900|11896
27.6|554.25, 2850, 100|7840,8400,7740,8100,7660,7500|11952,11952,11952,11960,11952,11968|23920|11896
28.1|554.37, 2850, 100|7840,8400,7740,8100,7660,7500|11952,11952,11952,11960,11952,11968|23920|11896
28.7|554.85, 2850, 100|7840,8400,7740,8100,7680,7500|11952,11952,11952,11960,11952,11968|23940|11896
29.2|555.60, 2850, 100|7840,8400,7760,8120,7680,7500|11952,11952,11952,11960,11952,11968|23960|11896
29.7|555.90, 2850, 100|7840,8400,7760,8120,7680,7500|11952,11952,11952,11960,11952,11968|23960|11896
30.2|556.07, 2850, 100|7840,8400,7760,8120,7680,7500|11952,11952,11952,11960,11952,11960|23980|11896
30.8|556.20, 2850, 100|7840,8400,7760,8120,7680,7500|11952,11952,11952,11960,11952,11960|23980|11896
31.3|556.16, 2850, 100|7860,8420,7740,8120,7680,7500|11952,11952,11952,11960,11952,11960|23980|11896
31.8|556.30, 2850, 100|7860,8420,7760,8120,7680,7500|11952,11952,11952,11960,11952,11960|23980|11896
32.3|556.69, 2850, 100|7860,8420,7740,8120,7680,7500|11952,11952,11952,11960,11952,11960|23960|11896
32.8|557.30, 2850, 100|7860,8420,7760,8120,7700,7500|11952,11952,11952,11960,11952,11960|23980|11896
33.4|557.90, 2850, 100|7860,8420,7760,8120,7700,7500|11952,11952,11952,11960,11952,11960|23980|11896
33.9|558.29, 2850, 100|7860,8420,7760,8120,7700,7520|11952,11952,11952,11960,11952,11960|24000|11896
34.4|558.23, 2850, 100|7860,8420,7780,8120,7700,7520|11952,11952,11952,11960,11952,11960|24020|11896
34.9|558.60, 2850, 100|7880,8420,7780,8140,7700,7520|11952,11952,11952,11960,11952,11960|24020|11896
35.4|558.74, 2850, 100|7880,8440,7780,8140,7720,7520|11952,11952,11952,11960,11952,11960|24040|11896
36.0|559.00, 2850, 100|7880,8440,7780,8140,7720,7540|11952,11952,11952,11960,11952,11960|24060|11896
36.5|559.30, 2850, 100|7880,8440,7780,8140,7720,7540|11952,11952,11952,11960,11952,11960|24060|11896
37.0|559.37, 2850, 100|7880,8440,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24080|11896
